consorciado;numero requerimiento;fecha requerimiento;descripcion;tipo solicitud;sede;ubicacion;numero cotizacion consorcio;fecha cotizacion consorcio;numero cotizacion consorciado;fecha cotizacion consorciado;estado cotizacion;valor mano de obra;valor materiales;costo directo;administracion;imprevistos;utilidad;impuesto;total;valor facturado;valor pagado;numero factura;tipo acta;fecha acta;detalle acta;pago consorciado;numero factura consorciado;valor mano obra consorciado;valor materiales consorciado;costo directo consorciado;administracion consorciado;imprevistos consorciado;utilidad consorciado;impuesto consorciado;total consorciado;valor mano obra administracion;valor materiales administracion;costo directo administracion;administracion administracion;imprevistos administracion;utilidad administracion;impuesto administracion;total administracion
INCOEL LTDA;00000448;2009-10-15;"Adecuación del sistema de iluminación en Bodega de Reempaque
";Proyecto;BOGOTA - CD SUROCC AUTOSUR;Bogotá;00000449-00;2009-11-03;OM09-529 ;;Pendiente;179500;718476;897976;0;0;0;143676;1041652;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000449;2009-10-15;"Adecuaciones eléctricas y de comunicaciones ventas remodelación oficinas
";Proyecto;BOGOTA - CD SUROCC AUTOSUR;Bogotá;00000468-00;2009-11-03;OM09-538;;Pendiente;5810650;18359637;24170287;0;0;0;3867245;28037532;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000442;2009-10-14;"Adecuación de Subestación y acometidas línea PET
";Proyecto;CERVECERIA DEL VALLE;Yumbo;00000446-00;2009-11-03;OM09-451 -1 ;;Pendiente;11975000;1270800;13245800;0;0;0;2119328;15365128;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000443;2009-10-14;"Adecuación de bandejas portacables zona cocina
";Proyecto;CERVECERIA AGUILA;Barranquilla;00000447-00;2009-11-03;ING-CC-059;2009-11-03;Ejecutada;1117000;1312400;2429400;0;0;0;388704;2818104;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000439;2009-10-09;"Adecuación bajante sistema de apantallamiento Silo
";Proyecto;CERVECERIA AGUILA;Barranquilla;00000444-00;2009-11-03;ING-CC-056 ;2009-11-03;Facturada total;440000;270000;710000;0;0;0;113600;823600;823600;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000437;2009-10-09;"Adecuaciones complementarias para equipo electrógeno Diseel NTC
";Proyecto;VILLAVICENCIO - CD;Villavicencio;00000442-00;2009-11-03;CT-CIM-09-114 ;;Pendiente;360000;867000;1227000;0;0;0;196320;1423320;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000438;2009-10-09;"Mantenimiento correctivo de Planta Electrica 30 KVA División de Ingenieria
";Mantenimiento;TECHO;Bogotá;00000443-00;2009-11-03;CT-CIM-09-115 ;;Pendiente;467000;1021800;1488800;0;0;0;238208;1727008;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000431;2009-10-08;"Servicio de Plomeria
";Servicio por demanda;BOGOTA - PARQUE CENTRAL BAVARIA;Bogotá;00000437-00;2009-11-03;OM09-525;2009-11-04;Facturada total;250000;0;250000;0;0;0;40000;290000;290000;0;0278;Acta finalización;2009-11-04;;No;0278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000441;2009-10-13;"Traslado de transformador Cogeneración
";Proyecto;CERVECERIA AGUILA;Barranquilla;00000445-00;2009-11-03;ING-CC-062;2009-11-03;Ejecutada;13399204;0;13399204;0;0;0;2143872;15543076;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000446;2009-10-15;"Adecuación cable para alimentación motobomba, suministro de soda a lavadora tren2 y señal tanque de almacenamiento de soda
";Servicio por demanda;CERVECERIA BUCARAMANGA;Bucaramanga;00000452-00;2009-11-03;CT-CIM-09-117 ;2009-11-03;Ejecutada;289000;0;289000;0;0;0;46240;335240;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANDINA S.A.;00000447;2009-10-15;"Adecuación para la instalación de señal para computadora en lavadora 2
";Servicio por demanda;CERVECERIA BUCARAMANGA;Bucaramanga;00000453-00;2009-11-03;CT-CIM-09-126 ;2009-11-03;Ejecutada;72000;0;72000;0;0;0;11520;83520;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000434;2009-10-08;"Adecuación de control electrico para condensadoras
";Proyecto;VALLEDUPAR - CD;Valledupar;00000438-00;2009-11-03;ING-CC-052 ;;Pendiente;6685760;7335300;14021060;0;0;0;2243369;16264429;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000432;2009-10-08;"Adecuación de iluminación cartera segundo piso ventas
";Servicio por demanda;TECHO;Bogotá;00000483-00;2009-11-03;OM09-532 ;2009-11-06;Recotizada;216000;450280;666280;0;0;0;106604;772884;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000433;2009-10-08;"Adecuación ventilación portería ventas
";Servicio por demanda;CALI - VENTAS;Cali;00000448-00;2009-11-03;OM09-528 ;;Pendiente;70000;653000;723000;0;0;0;115680;838680;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INGELCOR LTDA;00000435;2009-10-08;"Adecuación para traslado de tablero de iluminación POSM 
";Proyecto;SANTA MARTA - CD;Santa Marta;00000439-00;2009-11-03;ING-CC-053;;Pendiente;2229100;8823300;11052400;0;0;0;1768384;12820784;0;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000428;2009-10-07;"Adecuación de iluminación en baños de hombres portería Alsacia CD
";Servicio por demanda;TECHO;Bogotá;00000465-00;2009-11-04;OM09-518;2009-11-04;Facturada total;18000;24000;42000;0;0;0;6720;48720;48720;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000436;2009-10-08;"Adecuaciones eléctricas desde Agosto 19 a Septiembre 30 de 2009 (37 días)
";Proyecto;MALTERIA TIBITÓ;Tibirita;00000441-00;2009-11-04;OM09-522;2009-11-04;Facturada total;10311624;4645674;14957298;0;0;0;2393167;17350465;17350466;0;0270;Acta finalización;2009-11-04;;No;0270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INCOEL LTDA;00000429;2009-10-07;"Adecuación de tomas eléctricos oficina CD
";Servicio por demanda;TECHO;Bogotá;00000466-00;2009-11-04;OM09-521;2009-11-04;Facturada total;102850;200519;303369;0;0;0;48539;351908;351908;0;278;Acta finalización;2009-11-04;;No;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
